"simID","fireScenario","mgmtScenario","replicate","year","coverType","regenFailure30","area_ha"
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,0,"EN",0.191,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,0,"PG",0.045,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,1,"EN",0.194,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,1,"PG",0.045,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,2,"EN",0.198,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,2,"PG",0.05,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,3,"EN",0.195,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,3,"PG",0.05,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,4,"EN",0.197,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,4,"PG",0.051,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,5,"EN",0.194,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,5,"PG",0.05,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,6,"EN",0.19,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,6,"PG",0.05,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,7,"EN",0.186,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,7,"PG",0.05,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,8,"EN",0.184,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,8,"PG",0.05,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,9,"EN",0.204,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,9,"PG",0.052,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,10,"EN",0.198,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,10,"PG",0.052,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,11,"EN",0.194,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,11,"PG",0.052,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,12,"EN",0.19,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,12,"PG",0.052,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,13,"EN",0.186,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,13,"PG",0.052,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,14,"EN",0.185,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,14,"PG",0.052,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,15,"EN",0.182,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,15,"PG",0.051,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,16,"EN",0.179,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,16,"PG",0.051,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,17,"EN",0.192,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,17,"PG",0.051,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,18,"EN",0.189,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,18,"PG",0.05,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,19,"EN",0.185,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,19,"PG",0.05,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,20,"EN",0.182,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,20,"PG",0.05,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,21,"EN",0.178,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,21,"PG",0.05,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,22,"EN",0.174,629025
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,22,"PG",0.049,217925
"16","Baseline","Var. Reten & salvage logging, no post-fire, with post-salv planting ",0,23,"EN",0.171,629025
