"simID","fireScenario","mgmtScenario","replicate","year","coverType","regenFailure30","area_ha"
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,0,"EN",0.191,629025
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,0,"PG",0.045,217925
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,1,"EN",0.2,626250
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,1,"PG",0.046,220700
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,2,"EN",0.2,625550
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,2,"PG",0.047,221400
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,3,"EN",0.204,623325
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,3,"PG",0.047,223625
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,4,"EN",0.223,613125
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,4,"PG",0.05,233825
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,5,"EN",0.224,611275
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,5,"PG",0.05,235675
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,6,"EN",0.233,596500
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,6,"PG",0.053,250450
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,7,"EN",0.23,596350
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,7,"PG",0.052,250600
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,8,"EN",0.262,576750
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,8,"PG",0.058,270200
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,9,"EN",0.259,576125
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,9,"PG",0.058,270825
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,10,"EN",0.26,572825
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,10,"PG",0.057,274125
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,11,"EN",0.258,572825
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,11,"PG",0.057,274125
"18","Baseline","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,12,"EN",0.256,571850
