"simID","fireScenario","mgmtScenario","replicate","year","coverType","regenFailure30","area_ha"
"24","RCP 8.5","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,0,"EN",0.191,629025
"24","RCP 8.5","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,0,"PG",0.045,217925
"24","RCP 8.5","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,1,"EN",0.202,617600
"24","RCP 8.5","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,1,"PG",0.045,229350
"24","RCP 8.5","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,2,"EN",0.224,603600
"24","RCP 8.5","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,2,"PG",0.049,243350
"24","RCP 8.5","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,3,"EN",0.224,603250
"24","RCP 8.5","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,3,"PG",0.049,243700
"24","RCP 8.5","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,4,"EN",0.224,603100
"24","RCP 8.5","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,4,"PG",0.049,243850
"24","RCP 8.5","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,5,"EN",0.262,584450
"24","RCP 8.5","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,5,"PG",0.062,262500
"24","RCP 8.5","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,6,"EN",0.261,583200
"24","RCP 8.5","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,6,"PG",0.062,263750
"24","RCP 8.5","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,7,"EN",0.259,581425
"24","RCP 8.5","Clearcutting & salvage logging w. post-fire planting (Jack Pine), no access constrains",0,7,"PG",0.062,265525
