"simID","fireScenario","mgmtScenario","replicate","year","coverType","regenFailure30","area_ha"
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,0,"EN",0.191,629025
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,0,"PG",0.045,217925
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,1,"EN",0.195,629025
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,1,"PG",0.045,217925
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,2,"EN",0.199,629025
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,2,"PG",0.045,217925
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,3,"EN",0.224,629025
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,3,"PG",0.046,217925
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,4,"EN",0.224,629025
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,4,"PG",0.046,217925
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,5,"EN",0.226,629025
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,5,"PG",0.046,217925
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,6,"EN",0.225,629025
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,6,"PG",0.046,217925
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,7,"EN",0.224,629025
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,7,"PG",0.046,217925
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,8,"EN",0.23,629025
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,8,"PG",0.046,217925
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,9,"EN",0.225,629025
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,9,"PG",0.046,217925
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,10,"EN",0.223,629025
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,10,"PG",0.046,217925
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,11,"EN",0.219,629025
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,11,"PG",0.046,217925
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,12,"EN",0.222,629025
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,12,"PG",0.046,217925
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,13,"EN",0.229,629025
"17","Baseline","Clearcutting & salvage logging w. post-fire planting, no access constrains",0,13,"PG",0.046,217925
