"simID","fireScenario","mgmtScenario","replicate","year","coverType","regenFailure30","area_ha"
"03","Baseline","Variable Retention",0,0,"EN",0.191,629025
"03","Baseline","Variable Retention",0,0,"PG",0.045,217925
"03","Baseline","Variable Retention",0,1,"EN",0.193,629025
"03","Baseline","Variable Retention",0,1,"PG",0.045,217925
"03","Baseline","Variable Retention",0,2,"EN",0.19,629025
"03","Baseline","Variable Retention",0,2,"PG",0.045,217925
"03","Baseline","Variable Retention",0,3,"EN",0.19,629025
"03","Baseline","Variable Retention",0,3,"PG",0.045,217925
"03","Baseline","Variable Retention",0,4,"EN",0.19,629025
"03","Baseline","Variable Retention",0,4,"PG",0.045,217925
"03","Baseline","Variable Retention",0,5,"EN",0.187,629025
"03","Baseline","Variable Retention",0,5,"PG",0.044,217925
"03","Baseline","Variable Retention",0,6,"EN",0.185,629025
"03","Baseline","Variable Retention",0,6,"PG",0.045,217925
"03","Baseline","Variable Retention",0,7,"EN",0.18,629025
"03","Baseline","Variable Retention",0,7,"PG",0.044,217925
"03","Baseline","Variable Retention",0,8,"EN",0.175,629025
"03","Baseline","Variable Retention",0,8,"PG",0.044,217925
"03","Baseline","Variable Retention",0,9,"EN",0.168,629025
"03","Baseline","Variable Retention",0,9,"PG",0.044,217925
"03","Baseline","Variable Retention",0,10,"EN",0.161,629025
"03","Baseline","Variable Retention",0,10,"PG",0.043,217925
"03","Baseline","Variable Retention",0,11,"EN",0.16,629025
"03","Baseline","Variable Retention",0,11,"PG",0.043,217925
"03","Baseline","Variable Retention",0,12,"EN",0.157,629025
"03","Baseline","Variable Retention",0,12,"PG",0.043,217925
"03","Baseline","Variable Retention",0,13,"EN",0.155,629025
"03","Baseline","Variable Retention",0,13,"PG",0.043,217925
"03","Baseline","Variable Retention",0,14,"EN",0.152,629025
"03","Baseline","Variable Retention",0,14,"PG",0.043,217925
"03","Baseline","Variable Retention",0,15,"EN",0.148,629025
"03","Baseline","Variable Retention",0,15,"PG",0.043,217925
"03","Baseline","Variable Retention",0,16,"EN",0.145,629025
"03","Baseline","Variable Retention",0,16,"PG",0.044,217925
"03","Baseline","Variable Retention",0,17,"EN",0.141,629025
"03","Baseline","Variable Retention",0,17,"PG",0.043,217925
"03","Baseline","Variable Retention",0,18,"EN",0.138,629025
"03","Baseline","Variable Retention",0,18,"PG",0.043,217925
"03","Baseline","Variable Retention",0,19,"EN",0.134,629025
"03","Baseline","Variable Retention",0,19,"PG",0.043,217925
"03","Baseline","Variable Retention",0,20,"EN",0.139,629025
"03","Baseline","Variable Retention",0,20,"PG",0.044,217925
"03","Baseline","Variable Retention",0,21,"EN",0.144,629025
"03","Baseline","Variable Retention",0,21,"PG",0.043,217925
"03","Baseline","Variable Retention",0,22,"EN",0.142,629025
"03","Baseline","Variable Retention",0,22,"PG",0.043,217925
"03","Baseline","Variable Retention",0,23,"EN",0.138,629025
"03","Baseline","Variable Retention",0,23,"PG",0.043,217925
"03","Baseline","Variable Retention",0,24,"EN",0.138,629025
"03","Baseline","Variable Retention",0,24,"PG",0.043,217925
"03","Baseline","Variable Retention",0,25,"EN",0.149,629025
"03","Baseline","Variable Retention",0,25,"PG",0.043,217925
"03","Baseline","Variable Retention",0,26,"EN",0.152,629025
"03","Baseline","Variable Retention",0,26,"PG",0.044,217925
"03","Baseline","Variable Retention",0,27,"EN",0.164,629025
"03","Baseline","Variable Retention",0,27,"PG",0.044,217925
"03","Baseline","Variable Retention",0,28,"EN",0.165,629025
"03","Baseline","Variable Retention",0,28,"PG",0.045,217925
"03","Baseline","Variable Retention",0,29,"EN",0.162,629025
"03","Baseline","Variable Retention",0,29,"PG",0.044,217925
"03","Baseline","Variable Retention",0,30,"EN",0.16,629025
"03","Baseline","Variable Retention",0,30,"PG",0.044,217925
"03","Baseline","Variable Retention",0,31,"EN",0.164,629025
"03","Baseline","Variable Retention",0,31,"PG",0.044,217925
"03","Baseline","Variable Retention",0,32,"EN",0.181,629025
"03","Baseline","Variable Retention",0,32,"PG",0.044,217925
"03","Baseline","Variable Retention",0,33,"EN",0.182,629025
"03","Baseline","Variable Retention",0,33,"PG",0.044,217925
"03","Baseline","Variable Retention",0,34,"EN",0.181,629025
"03","Baseline","Variable Retention",0,34,"PG",0.044,217925
"03","Baseline","Variable Retention",0,35,"EN",0.18,629025
"03","Baseline","Variable Retention",0,35,"PG",0.044,217925
"03","Baseline","Variable Retention",0,36,"EN",0.215,629025
"03","Baseline","Variable Retention",0,36,"PG",0.045,217925
"03","Baseline","Variable Retention",0,37,"EN",0.219,629025
"03","Baseline","Variable Retention",0,37,"PG",0.046,217925
"03","Baseline","Variable Retention",0,38,"EN",0.218,629025
"03","Baseline","Variable Retention",0,38,"PG",0.046,217925
"03","Baseline","Variable Retention",0,39,"EN",0.217,629025
"03","Baseline","Variable Retention",0,39,"PG",0.045,217925
"03","Baseline","Variable Retention",0,40,"EN",0.231,629025
"03","Baseline","Variable Retention",0,40,"PG",0.048,217925
"03","Baseline","Variable Retention",0,41,"EN",0.23,629025
"03","Baseline","Variable Retention",0,41,"PG",0.048,217925
"03","Baseline","Variable Retention",0,42,"EN",0.229,629025
"03","Baseline","Variable Retention",0,42,"PG",0.049,217925
"03","Baseline","Variable Retention",0,43,"EN",0.229,629025
"03","Baseline","Variable Retention",0,43,"PG",0.049,217925
"03","Baseline","Variable Retention",0,44,"EN",0.228,629025
"03","Baseline","Variable Retention",0,44,"PG",0.048,217925
"03","Baseline","Variable Retention",0,45,"EN",0.227,629025
"03","Baseline","Variable Retention",0,45,"PG",0.048,217925
"03","Baseline","Variable Retention",0,46,"EN",0.228,629025
"03","Baseline","Variable Retention",0,46,"PG",0.048,217925
"03","Baseline","Variable Retention",0,47,"EN",0.226,629025
"03","Baseline","Variable Retention",0,47,"PG",0.048,217925
"03","Baseline","Variable Retention",0,48,"EN",0.224,629025
"03","Baseline","Variable Retention",0,48,"PG",0.047,217925
"03","Baseline","Variable Retention",0,49,"EN",0.224,629025
"03","Baseline","Variable Retention",0,49,"PG",0.048,217925
"03","Baseline","Variable Retention",0,50,"EN",0.222,629025
"03","Baseline","Variable Retention",0,50,"PG",0.048,217925
"03","Baseline","Variable Retention",0,51,"EN",0.219,629025
"03","Baseline","Variable Retention",0,51,"PG",0.048,217925
"03","Baseline","Variable Retention",0,52,"EN",0.218,629025
"03","Baseline","Variable Retention",0,52,"PG",0.047,217925
"03","Baseline","Variable Retention",0,53,"EN",0.215,629025
"03","Baseline","Variable Retention",0,53,"PG",0.047,217925
"03","Baseline","Variable Retention",0,54,"EN",0.214,629025
"03","Baseline","Variable Retention",0,54,"PG",0.047,217925
"03","Baseline","Variable Retention",0,55,"EN",0.211,629025
"03","Baseline","Variable Retention",0,55,"PG",0.047,217925
"03","Baseline","Variable Retention",0,56,"EN",0.209,629025
"03","Baseline","Variable Retention",0,56,"PG",0.046,217925
"03","Baseline","Variable Retention",0,57,"EN",0.206,629025
"03","Baseline","Variable Retention",0,57,"PG",0.046,217925
"03","Baseline","Variable Retention",0,58,"EN",0.202,629025
"03","Baseline","Variable Retention",0,58,"PG",0.046,217925
"03","Baseline","Variable Retention",0,59,"EN",0.197,629025
"03","Baseline","Variable Retention",0,59,"PG",0.046,217925
"03","Baseline","Variable Retention",0,60,"EN",0.201,629025
"03","Baseline","Variable Retention",0,60,"PG",0.047,217925
"03","Baseline","Variable Retention",0,61,"EN",0.204,629025
"03","Baseline","Variable Retention",0,61,"PG",0.047,217925
"03","Baseline","Variable Retention",0,62,"EN",0.204,629025
"03","Baseline","Variable Retention",0,62,"PG",0.047,217925
"03","Baseline","Variable Retention",0,63,"EN",0.199,629025
