"simID","fireScenario","mgmtScenario","replicate","year","coverType","regenFailure30","area_ha"
"10","RCP 8.5","No logging",0,0,"EN",0.191,629025
"10","RCP 8.5","No logging",0,0,"PG",0.045,217925
"10","RCP 8.5","No logging",0,1,"EN",0.199,629025
"10","RCP 8.5","No logging",0,1,"PG",0.046,217925
"10","RCP 8.5","No logging",0,2,"EN",0.199,629025
"10","RCP 8.5","No logging",0,2,"PG",0.046,217925
"10","RCP 8.5","No logging",0,3,"EN",0.196,629025
"10","RCP 8.5","No logging",0,3,"PG",0.046,217925
"10","RCP 8.5","No logging",0,4,"EN",0.194,629025
"10","RCP 8.5","No logging",0,4,"PG",0.046,217925
"10","RCP 8.5","No logging",0,5,"EN",0.192,629025
"10","RCP 8.5","No logging",0,5,"PG",0.046,217925
"10","RCP 8.5","No logging",0,6,"EN",0.194,629025
"10","RCP 8.5","No logging",0,6,"PG",0.046,217925
"10","RCP 8.5","No logging",0,7,"EN",0.19,629025
"10","RCP 8.5","No logging",0,7,"PG",0.046,217925
"10","RCP 8.5","No logging",0,8,"EN",0.186,629025
"10","RCP 8.5","No logging",0,8,"PG",0.045,217925
"10","RCP 8.5","No logging",0,9,"EN",0.18,629025
"10","RCP 8.5","No logging",0,9,"PG",0.045,217925
"10","RCP 8.5","No logging",0,10,"EN",0.176,629025
"10","RCP 8.5","No logging",0,10,"PG",0.045,217925
"10","RCP 8.5","No logging",0,11,"EN",0.176,629025
"10","RCP 8.5","No logging",0,11,"PG",0.045,217925
"10","RCP 8.5","No logging",0,12,"EN",0.189,629025
"10","RCP 8.5","No logging",0,12,"PG",0.049,217925
"10","RCP 8.5","No logging",0,13,"EN",0.185,629025
"10","RCP 8.5","No logging",0,13,"PG",0.049,217925
"10","RCP 8.5","No logging",0,14,"EN",0.183,629025
"10","RCP 8.5","No logging",0,14,"PG",0.049,217925
"10","RCP 8.5","No logging",0,15,"EN",0.192,629025
"10","RCP 8.5","No logging",0,15,"PG",0.053,217925
"10","RCP 8.5","No logging",0,16,"EN",0.19,629025
"10","RCP 8.5","No logging",0,16,"PG",0.053,217925
"10","RCP 8.5","No logging",0,17,"EN",0.189,629025
"10","RCP 8.5","No logging",0,17,"PG",0.053,217925
"10","RCP 8.5","No logging",0,18,"EN",0.236,629025
"10","RCP 8.5","No logging",0,18,"PG",0.054,217925
"10","RCP 8.5","No logging",0,19,"EN",0.265,629025
"10","RCP 8.5","No logging",0,19,"PG",0.056,217925
"10","RCP 8.5","No logging",0,20,"EN",0.266,629025
"10","RCP 8.5","No logging",0,20,"PG",0.056,217925
"10","RCP 8.5","No logging",0,21,"EN",0.269,629025
"10","RCP 8.5","No logging",0,21,"PG",0.057,217925
"10","RCP 8.5","No logging",0,22,"EN",0.275,629025
"10","RCP 8.5","No logging",0,22,"PG",0.057,217925
"10","RCP 8.5","No logging",0,23,"EN",0.283,629025
"10","RCP 8.5","No logging",0,23,"PG",0.058,217925
"10","RCP 8.5","No logging",0,24,"EN",0.281,629025
"10","RCP 8.5","No logging",0,24,"PG",0.058,217925
"10","RCP 8.5","No logging",0,25,"EN",0.279,629025
"10","RCP 8.5","No logging",0,25,"PG",0.058,217925
"10","RCP 8.5","No logging",0,26,"EN",0.279,629025
"10","RCP 8.5","No logging",0,26,"PG",0.058,217925
"10","RCP 8.5","No logging",0,27,"EN",0.277,629025
"10","RCP 8.5","No logging",0,27,"PG",0.058,217925
"10","RCP 8.5","No logging",0,28,"EN",0.278,629025
"10","RCP 8.5","No logging",0,28,"PG",0.058,217925
"10","RCP 8.5","No logging",0,29,"EN",0.276,629025
"10","RCP 8.5","No logging",0,29,"PG",0.057,217925
"10","RCP 8.5","No logging",0,30,"EN",0.275,629025
"10","RCP 8.5","No logging",0,30,"PG",0.057,217925
"10","RCP 8.5","No logging",0,31,"EN",0.288,629025
"10","RCP 8.5","No logging",0,31,"PG",0.058,217925
"10","RCP 8.5","No logging",0,32,"EN",0.294,629025
"10","RCP 8.5","No logging",0,32,"PG",0.058,217925
"10","RCP 8.5","No logging",0,33,"EN",0.292,629025
"10","RCP 8.5","No logging",0,33,"PG",0.058,217925
"10","RCP 8.5","No logging",0,34,"EN",0.295,629025
"10","RCP 8.5","No logging",0,34,"PG",0.059,217925
"10","RCP 8.5","No logging",0,35,"EN",0.295,629025
"10","RCP 8.5","No logging",0,35,"PG",0.059,217925
"10","RCP 8.5","No logging",0,36,"EN",0.299,629025
