"ID","value"
1,"10"
2,"120"
3,"12010"
4,"12012"
5,"12030"
6,"12050"
7,"12070"
8,"12090"
9,"30"
10,"30120"
11,"3030"
12,"3050"
13,"3090"
14,"50"
15,"5010"
16,"50120"
17,"5050"
18,"70"
19,"70120"
20,"7030"
21,"7070"
22,"90"
23,"9010"
24,"9030"
25,"9050"
26,"9070"
27,"9090"
28,"JIN"
29,"JIR"
30,"VIN"
31,"VIN30"
32,"VIN50"
33,"VIR"
