"ID","value"
1,"1A"
2,"1AB"
3,"1AD"
4,"1AM"
5,"1AY"
6,"1BC"
7,"1BD"
8,"1BF"
9,"1BG"
10,"1BN"
11,"1BP"
12,"1BT"
13,"2A"
14,"2AE"
15,"2AK"
16,"2AT"
17,"2BD"
18,"2BE"
19,"3AE"
20,"3AN"
21,"4GA"
22,"4GAY"
23,"4GS"
24,"4P"
25,"7E"
26,"7T"
27,"7TM"
28,"7TY"
29,"8E"
30,"9S"
31,"R"
32,"R1A"
33,"R4GA"
34,"R7T"
