"ID","value"
1,"00"
2,"10"
3,"11"
4,"16"
5,"20"
6,"21"
7,"24"
8,"30"
9,"31"
10,"40"
11,"41"
12,"42"
13,"43"
14,"44"
15,"50"
16,"51"
17,"52"
18,"53"
19,"54"
20,"60"
21,"61"
22,"63"
