,b41,b42,b43,b44
EN,0.38188,0.99964,0.88767,0.06724
PG,0.25296,0.36287,0.97754,0.80496
pet,0.33273,0.51062,0.92356,0.58386
bop,0.28398,0.4985,0.94481,0.62547
