,b31,b32,b33,b34,b35,b36
EN,0.02172,3.9468,0.81186,-0.0134,0.91455,-2.5608
PG,0.74618,2.1353,0.89724,-0.04384,0.86574,-2.0883
pet,0.42427,3.0133,0.86643,-0.30536,0.87803,-16.12
bop,2.22051,1.787,0.90862,-0.1123,0.88866,-13.511
