"ID_PE","suivi","DOM_BIO","TYPE_COUV","GR_ESS","CL_AGE","DEP_SUR","CL_DRAI","den","ST","denPIG","STPIG","denEPN","STEPN","DQM","denRel2sp","codSol","codSOl","esse"
103303703,"PET3","6","M","BBBBE","090","1AY",30,625,9.087,0,0,0.88,0.935182128315175,136.058385955491,0.88,"Tills","Tills","EPN"
103303801,"PET3","6","R","EE","120","1A",30,700,8.56,0,0,1,1,124.779408230989,1,"Tills","Tills","EPN"
103303802,"PET3","6","R","EE","120","1A",30,1275,16.855,0,0,0.823529411764706,0.861584099673687,129.737147616916,0.823529411764706,"Tills","Tills","EPN"
103303803,"PET3","6","R","EE","090","1A",30,1450,15.479,0,0,0.948275862068966,0.949738355190904,116.584954707318,0.948275862068966,"Tills","Tills","EPN"
103303804,"PET3","6","R","EE","090","1A",30,1275,13.234,0,0,0.941176470588235,0.934713616442497,114.95967625531,0.941176470588235,"Tills","Tills","EPN"
103303901,"PET3","6","R","EE","120","1A",40,1775,19.327,0,0,0.887323943661972,0.909815284317276,117.743815198588,0.887323943661972,"Tills","Tills","EPN"
103303902,"PET3","6","R","EE","120","1A",40,1550,15.543,0,0,0.935483870967742,0.943897574470823,112.994325417948,0.935483870967742,"Tills","Tills","EPN"
103303903,"PET3","6","R","EE","120","7T",50,1075,12.928,0,0,1,1,123.741819872786,1,"Organic","Organic","EPN"
103303904,"PET3","6","R","EE","120","7T",50,1100,14.484,0,0,1,1,129.480084695201,1,"Organic","Organic","EPN"
103304001,"PET3","6","R","EE","120","1A",30,950,12.087,0,0,1,1,127.277758329915,1,"Tills","Tills","EPN"
103304002,"PET3","6","R","EE","120","1A",30,1300,14.003,0,0,1,1,117.109985598439,1,"Tills","Tills","EPN"
103304103,"PET3","6","R","EE","120","1AM",30,850,18.19,0,0,0.852941176470588,0.877789994502474,165.067641460501,0.852941176470588,"Tills","Tills","EPN"
103304104,"PET3","6","R","EE","120","1AM",20,1200,26.06,0,0,0.833333333333333,0.832732156561781,166.284451407316,0.833333333333333,"Tills","Tills","EPN"
103304301,"PET3","6","R","EE","120","1A",30,450,7.499,0.388888888888889,0.385384717962395,0.611111111111111,0.614615282037605,145.663412213599,1,"Tills","Tills","EPN"
103304302,"PET3","6","R","EE","120","1A",30,1050,20.962,0.0238095238095238,0.0303406163534014,0.976190476190476,0.969659383646599,159.43246767605,1,"Tills","Tills","EPN"
103304303,"PET3","6","R","EE","070","1A",40,625,7.9,0,0,1,1,126.861136071897,1,"Tills","Tills","EPN"
103304401,"PET3","6","R","EE","090","1A",30,1325,19.447,0,0,0.811320754716981,0.875147837712758,136.701546350765,0.811320754716981,"Tills","Tills","EPN"
103304403,"PET3","6","M","EBB","090","1AY",20,825,18.652,0,0,0.909090909090909,0.959200085781685,169.664424543381,0.909090909090909,"Tills","Tills","EPN"
103304404,"PET3","6","M","EBB","090","1AY",20,1150,29.908,0,0,0.91304347826087,0.957703624448308,181.970012589125,0.91304347826087,"Tills","Tills","EPN"
103304501,"PET3","6","R","EE","120","1AY",40,850,10.964,0,0,0.941176470588235,0.916180226194819,128.153393237196,0.941176470588235,"Tills","Tills","EPN"
103304502,"PET3","6","R","EE","120","1AY",40,700,10.061,0,0,0.678571428571429,0.629162111122155,135.277825548443,0.678571428571429,"Tills","Tills","EPN"
103304503,"PET3","6","R","EE","120","1A",40,500,5.473,0,0,0.95,0.964187831171204,118.054563895985,0.95,"Tills","Tills","EPN"
103304504,"PET3","6","R","EE","120","1A",40,700,10.148,0,0,0.857142857142857,0.883819471817107,135.861457269489,0.857142857142857,"Tills","Tills","EPN"
103304601,"PET3","6","R","EE","070","1AY",20,975,13.665,0,0,0.923076923076923,0.944310281741676,133.584961455175,0.923076923076923,"Tills","Tills","EPN"
103304602,"PET3","6","R","EE","070","1AY",20,2125,29.279,0,0,0.941176470588235,0.932682127121828,132.450533506,0.941176470588235,"Tills","Tills","EPN"
103304603,"PET3","6","R","ES","120","1AY",20,725,21.011,0,0,0.586206896551724,0.675884060730094,192.092061529525,0.586206896551724,"Tills","Tills","EPN"
103304604,"PET3","6","R","ES","120","1AY",20,900,23.34,0,0,0.694444444444444,0.759125964010283,181.712260254498,0.694444444444444,"Tills","Tills","EPN"
103304701,"PET3","6","R","ES","090","1A",30,1050,22.063,0,0,0.857142857142857,0.837692063635952,163.565871616335,0.857142857142857,"Tills","Tills","EPN"
103304801,"PET3","6","R","EE","120","1A",40,725,15.519,0,0,0.931034482758621,0.926606095753592,165.088918547656,0.931034482758621,"Tills","Tills","EPN"
103304802,"PET3","6","R","EE","120","1A",40,650,19,0,0,1,1,192.919079687944,1,"Tills","Tills","EPN"
103304803,"PET3","6","R","EE","070","1AY",30,1475,23.568,0,0,0.983050847457627,0.991683638832315,142.633130414155,0.983050847457627,"Tills","Tills","EPN"
103304901,"PET3","6","R","EE","120","1A",40,725,9.723,0,0,0.862068965517241,0.901470739483698,130.673101437347,0.862068965517241,"Tills","Tills","EPN"
103304902,"PET3","6","R","EE","120","1BP",16,700,11.468,0,0,1,1,144.427495893381,1,"Tills","Tills","EPN"
103305001,"PET3","6","R","EE","120","1A",30,1650,30.418,0,0,0.984848484848485,0.98734302057992,153.206931704395,0.984848484848485,"Tills","Tills","EPN"
103305004,"PET3","6","R","EE","120","1A",30,2425,41.907,0,0,0.896907216494845,0.923926790273701,148.334603092901,0.896907216494845,"Tills","Tills","EPN"
103305101,"PET3","6","R","EE","120","1A",30,325,7.453,0,0,1,1,170.875162050781,1,"Tills","Tills","EPN"
103305102,"PET3","6","R","EE","120","1A",30,700,12.41,0,0,1,1,150.242198514662,1,"Tills","Tills","EPN"
103305103,"PET3","6","R","ES","090","1A",30,1650,23.783,0,0,0.96969696969697,0.971912710759786,135.471021372763,0.96969696969697,"Tills","Tills","EPN"
103305104,"PET3","6","R","ES","090","1A",30,1175,31,0,0,0.574468085106383,0.780838709677419,183.280800463509,0.574468085106383,"Tills","Tills","EPN"
103305201,"PET3","6","R","EE","070","1A",30,1200,15.348,0,0,1,1,127.6116521998,1,"Tills","Tills","EPN"
103305202,"PET3","6","R","EE","070","1A",30,725,8.403,0,0,1,1,121.479567712432,1,"Tills","Tills","EPN"
103305203,"PET3","6","R","EE","090","1A",30,1950,28.518,0,0,0.948717948717949,0.940774247843467,136.457460896188,0.948717948717949,"Tills","Tills","EPN"
103305204,"PET3","6","R","EE","090","1A",30,1775,33.12,0,0,0.985915492957746,0.984812801932367,154.134921181665,0.985915492957746,"Tills","Tills","EPN"
103305304,"PET3","6","R","ES","070","1A",30,600,14.121,0,0,0.791666666666667,0.771970823596063,173.106015739899,0.791666666666667,"Tills","Tills","EPN"
103305401,"PET3","6","R","EE","090","1A",30,1750,23.438,0,0,0.9,0.912151207440908,130.58590702676,0.9,"Tills","Tills","EPN"
103305402,"PET3","6","R","EE","070","1A",31,1425,17.412,0,0,0.912280701754386,0.921031472547668,124.730296979168,0.912280701754386,"Tills","Tills","EPN"
103305403,"PET3","6","R","EE","090","1AY",30,2225,25.565,0,0,0.955056179775281,0.958497946411109,120.95197108102,0.955056179775281,"Tills","Tills","EPN"
103305501,"PET3","6","R","ES","090","1AY",20,1125,24.702,0,0,0.866666666666667,0.880738401748846,167.203304683046,0.866666666666667,"Tills","Tills","EPN"
103305602,"PET3","6","R","ES","120","1AY",20,1250,25.823,0,0,0.72,0.766409789722341,162.182279583674,0.72,"Tills","Tills","EPN"
103305701,"PET3","6","R","ES","070","1A",30,1150,26.981,0,0,0.847826086956522,0.692561432118898,172.836379414549,0.847826086956522,"Tills","Tills","EPN"
103305702,"PET3","6","R","ES","070","1A",30,1675,30.206,0,0,1,1,151.528478557309,1,"Tills","Tills","EPN"
103305703,"PET3","6","R","ES","070","1A",30,1225,15.653,0,0,0.979591836734694,0.981920398645627,127.551569702865,0.979591836734694,"Tills","Tills","EPN"
103305704,"PET3","6","R","ES","070","1A",30,1275,16.092,0,0,0.882352941176471,0.910700969425802,126.766639868042,0.882352941176471,"Tills","Tills","EPN"
103305801,"PET3","6","R","ES","090","1A",30,2175,37.675,0,0,0.632183908045977,0.760265428002654,148.508755650232,0.632183908045977,"Tills","Tills","EPN"
103305803,"PET3","6","R","ES","090","1A",30,900,19.084,0,0,0.944444444444444,0.939949696080486,164.3117074064,0.944444444444444,"Tills","Tills","EPN"
103305901,"PET3","6","R","ES","090","1AY",20,2525,32.327,0,0,0.930693069306931,0.945339808828534,127.675353712474,0.930693069306931,"Tills","Tills","EPN"
103306001,"PET3","6","R","EE","120","1A",40,700,7.611,0,0,0.857142857142857,0.806989883063986,117.659473390551,0.857142857142857,"Tills","Tills","EPN"
103306002,"PET3","6","R","EE","120","1A",30,550,9.583,0,0,0.954545454545455,0.970468538036106,148.944495807221,0.954545454545455,"Tills","Tills","EPN"
103306003,"PET3","6","R","EE","120","1AY",30,800,10.116,0,0,0.875,0.903716884143931,126.886224796769,0.875,"Tills","Tills","EPN"
103306101,"PET3","6","R","EE","070","1AY",30,850,11.615,0,0,1,1,131.903161056083,1,"Tills","Tills","EPN"
103306102,"PET3","6","R","EE","070","1AY",30,625,7.484,0,0,1,1,123.475825992284,1,"Tills","Tills","EPN"
103306103,"PET3","6","R","EE","120","1AY",20,1125,28.744,0,0,0.911111111111111,0.930907319788478,180.365055679043,0.911111111111111,"Tills","Tills","EPN"
103306201,"PET3","6","R","EE","070","1A",30,650,12.212,0.115384615384615,0.265558467081559,0.884615384615385,0.734441532918441,154.664904876544,1,"Tills","Tills","EPN"
